cScore,merged_col
low,"  Farm House is available for Sale in Artauni, Agra for 2.0 Crore(s)   Farm House is available for Sale in Artauni, Agra for 2.0 Crore(s)"
low,"> 10 BHK, Farm House is available for Sale in , Agra for 10.0 Crore(s) > 10 BHK, Farm House is available for Sale in , Agra for 10.0 Crore(s)"
low,"  Farm House is available for Sale in Shrirampur, Ahmadnagar for 2.0 Crore(s)   Farm House is available for Sale in Shrirampur, Ahmadnagar for 2.0 Crore(s)"
high,"A quiet and beautiful farm house  located in heart of the city is available on sale in Ahmedabad. Pr 2 BHK, Farm House is available for Sale in Vaishnodevi Circle, Ahmedabad for 18.0 Crore(s)"
high,"very good plotting scheme bearing Arvind High Groove. Located at Moti Devti, near Gulmohar Greens Re 1 BHK, Farm House is available for Sale in Chharodi Sanand, Ahmedabad for 1.1 Crore(s)"
high,"Escape The Chaos, Cherish The SerenityYOUR RETREAT TO REDISCOVER LIFES WONDERSReconnect with the sce 2 BHK, Farm House is available for Sale in Kunvar, Ahmedabad for 1.1 Crore(s)"
high,"Its very good brand new villa Farmhouse for immediate sell ready to move with all amenities best loc 1 BHK, Farm House is available for Sale in Sanand Nalsarovar Road, Ahmedabad for 90.0 Lac(s)"
high,"best farm house location near ahmedabad 10 min away 2 BHK, Farm House is available for Sale in Kolat, Ahmedabad for 2.1 Crore(s)"
medium,"youre considering investing in a farmhouse, we also offer farmhouses on sale, with spacious resident 3 BHK, Farm House is available for Sale in Bavla, Ahmedabad for 69.0 Lac(s)"
high,"Upcoming plot scheme which can be used as Farm House or Weekend Vila. It has lush green surroundings 1 BHK, Farm House is available for Sale in Adroda, Ahmedabad for 32.50 Lac(s)"
high,"Nice residential place. Well maintained society good location. Best place for a living stay family.  2 BHK, Farm House is available for Sale in Chekhla, Ahmedabad for 4.3 Crore(s)"
high,"Savvy Kensville Golf Living in Devdholera, Ahmedabad is a ready to move housing society. This projec 1 BHK, Farm House is available for Sale in Modasar Bavla, Ahmedabad for 97.0 Lac(s)"
high,"Plotting Scheme, at moti devati and well developed area 1 BHK, Farm House is available for Sale in Moti Devati, Ahmedabad for 48.60 Lac(s)"
high,"plot for sale abhishree orchad kolat 876 sq yd 1 BHK, Farm House is available for Sale in Kolat, Ahmedabad for 2.3 Crore(s)"
high,"Ready Farmhouse On SaleFully Furnished With Personal Pool1 BhkAnanda ExoticaSanand900 Sq Yard Plot 1 1 BHK, Farm House is available for Sale in Sanand, Ahmedabad for 1.6 Crore(s)"
high,"An outstanding plot is available for sale in prime location. .Its one of the best location of Ahmeda 2 BHK, Farm House is available for Sale in Sanand, Ahmedabad for 2.7 Crore(s)"
high,"sale : 10000 sq yd plot with 4 BHK bunglows,well maintain garden and greenery.velly view m best Loca 4 BHK, Farm House is available for Sale in Sarkhej Gandhinagar Highway, Ahmedabad for 15.0 Crore(s)"
medium,"nice location plot 2 road cornner plot 3 BHK, Farm House is available for Sale in Kadi, Ahmedabad for 90.0 Lac(s)"
medium,"2 BHK, Farm House is available for Sale in Goraj, Ahmedabad for 1.1 Crore(s) 2 BHK, Farm House is available for Sale in Goraj, Ahmedabad for 1.1 Crore(s)"
